name,surname,URI
SERGIO,GAMBINI,http://dati.camera.it/ocd/persona.rdf/p200419
LUCIANO,GASPERINI,http://dati.camera.it/ocd/persona.rdf/p200426
JAS,GAWRONSKI,http://dati.camera.it/ocd/persona.rdf/p200428
BASILIO,GERMANA',http://dati.camera.it/ocd/persona.rdf/p200432
PAOLO,GIARETTA,http://dati.camera.it/ocd/persona.rdf/p200436
ANGELO,GIORGIANNI,http://dati.camera.it/ocd/persona.rdf/p200441
FAUSTO,GIOVANELLI,http://dati.camera.it/ocd/persona.rdf/p200444
BRUNO,ERROI,http://dati.camera.it/ocd/persona.rdf/p200352
ANTONIO,FALOMI,http://dati.camera.it/ocd/persona.rdf/p200361
ELVIO,FASSONE,http://dati.camera.it/ocd/persona.rdf/p200368
MICHELE,FIGURELLI,http://dati.camera.it/ocd/persona.rdf/p200382
EUGENIO,FILOGRANA,http://dati.camera.it/ocd/persona.rdf/p200384
BIANCA MARIA,FIORILLO,http://dati.camera.it/ocd/persona.rdf/p200385
GIUSEPPE,FIRRARELLO,http://dati.camera.it/ocd/persona.rdf/p200386
DOMENICO,FISICHELLA,http://dati.camera.it/ocd/persona.rdf/p200389
MICHELE,FLORINO,http://dati.camera.it/ocd/persona.rdf/p200392
LUIGI,FOLLIERI,http://dati.camera.it/ocd/persona.rdf/p200394
GIAN GUIDO,FOLLONI,http://dati.camera.it/ocd/persona.rdf/p200396
MICHELE,LAURIA,http://dati.camera.it/ocd/persona.rdf/p200500
BALDASSARRE,LAURIA,http://dati.camera.it/ocd/persona.rdf/p200501
SALVATORE,LAURO,http://dati.camera.it/ocd/persona.rdf/p200504
SEVERINO,LAVAGNINI,http://dati.camera.it/ocd/persona.rdf/p200506
ANTONIO,LISI,http://dati.camera.it/ocd/persona.rdf/p200516
GIUSEPPE,LO CURZIO,http://dati.camera.it/ocd/persona.rdf/p200517
LUIGI MARIA,LOMBARDI SATRIANI,http://dati.camera.it/ocd/persona.rdf/p200522
LUCIANO,LORENZI,http://dati.camera.it/ocd/persona.rdf/p200528
ROCCO VITO,LORETO,http://dati.camera.it/ocd/persona.rdf/p200531
GIOVANNI,LUBRANO DI RICCO,http://dati.camera.it/ocd/persona.rdf/p200534
LORIS GIUSEPPE,MACONI,http://dati.camera.it/ocd/persona.rdf/p200539
ERNESTO,MAGGI,http://dati.camera.it/ocd/persona.rdf/p200541
GIUSEPPE,MAGGIORE,http://dati.camera.it/ocd/persona.rdf/p200542
BRUNO,MAGLIOCCHETTI,http://dati.camera.it/ocd/persona.rdf/p200545
LUCIANO,MAGNALBO',http://dati.camera.it/ocd/persona.rdf/p200547
ELIA,MANARA,http://dati.camera.it/ocd/persona.rdf/p200553
VINCENZO RUGGERO,MANCA,http://dati.camera.it/ocd/persona.rdf/p200554
NICOLA,MANCINO,http://dati.camera.it/ocd/persona.rdf/p200557
LUIGI,MANCONI,http://dati.camera.it/ocd/persona.rdf/p200559
MARIO,GRECO,http://dati.camera.it/ocd/persona.rdf/p200457
VITO,GRUOSSO,http://dati.camera.it/ocd/persona.rdf/p200463
LIBERO,GUALTIERI,http://dati.camera.it/ocd/persona.rdf/p200466
LUCIANO,GUERZONI,http://dati.camera.it/ocd/persona.rdf/p200473
GIOVANNI,IULIANO,http://dati.camera.it/ocd/persona.rdf/p200483
ENRICO,JACCHIA,http://dati.camera.it/ocd/persona.rdf/p200484
ENRICO,LA LOGGIA,http://dati.camera.it/ocd/persona.rdf/p200487
LUCIANO,LAGO,http://dati.camera.it/ocd/persona.rdf/p200492
ROBERTO,LASAGNA,http://dati.camera.it/ocd/persona.rdf/p200497
DORIANO,DI BENEDETTO,http://dati.camera.it/ocd/persona.rdf/p200325
FERDINANDO,DI ORIO,http://dati.camera.it/ocd/persona.rdf/p200330
ANTONIO,DI PIETRO,http://dati.camera.it/ocd/persona.rdf/p200331
MASSIMO,DOLAZZA,http://dati.camera.it/ocd/persona.rdf/p200340
GUIDO,DONDEYNAZ,http://dati.camera.it/ocd/persona.rdf/p200342
EUGENIO MARIO,DONISE,http://dati.camera.it/ocd/persona.rdf/p200344
ANTONIO,DUVA,http://dati.camera.it/ocd/persona.rdf/p200349
PAOLO,TRINGALI,http://dati.camera.it/ocd/persona.rdf/p22540
GIULIANO,AMATO,http://dati.camera.it/ocd/persona.rdf/p22610
BENIAMINO,ANDREATTA,http://dati.camera.it/ocd/persona.rdf/p22620
LAURA,BALBO,http://dati.camera.it/ocd/persona.rdf/p22710
FRANCO,FAUSTI,http://dati.camera.it/ocd/persona.rdf/p23430
UGO,MARTINAT,http://dati.camera.it/ocd/persona.rdf/p21560
LUIGI CIRIACO,DE MITA,http://dati.camera.it/ocd/persona.rdf/p2230
FAMIANO,CRUCIANELLI,http://dati.camera.it/ocd/persona.rdf/p22300
FRANCESCO,CORLEONE,http://dati.camera.it/ocd/persona.rdf/p22450
GIUSEPPE,CALDERISI,http://dati.camera.it/ocd/persona.rdf/p22470
NINO,SOSPIRI,http://dati.camera.it/ocd/persona.rdf/p22040
VALDO,SPINI,http://dati.camera.it/ocd/persona.rdf/p22050
VERA,SQUARCIALUPI GIUFFRIDA,http://dati.camera.it/ocd/persona.rdf/p22060
GIUSEPPE,TATARELLA,http://dati.camera.it/ocd/persona.rdf/p22120
FABRIZIO,ABBATE,http://dati.camera.it/ocd/persona.rdf/p20490
FRANCO,BASSANINI,http://dati.camera.it/ocd/persona.rdf/p20670
PUBLIO,FIORI,http://dati.camera.it/ocd/persona.rdf/p21200
ALFREDO,BIONDI,http://dati.camera.it/ocd/persona.rdf/p20750
MARCO,BOATO,http://dati.camera.it/ocd/persona.rdf/p20770
ELENA,MONTECCHI,http://dati.camera.it/ocd/persona.rdf/p25160
MATTEO,PIREDDA,http://dati.camera.it/ocd/persona.rdf/p24260
ADRIANA,POLI BORTONE,http://dati.camera.it/ocd/persona.rdf/p24310
ALTERO,MATTEOLI,http://dati.camera.it/ocd/persona.rdf/p23880
SERGIO,SOAVE,http://dati.camera.it/ocd/persona.rdf/p24740
VINCENZO ALFONSO,VISCO,http://dati.camera.it/ocd/persona.rdf/p24890
LUCIANO,GUERZONI,http://dati.camera.it/ocd/persona.rdf/p23670
UGO,INTINI,http://dati.camera.it/ocd/persona.rdf/p23680
GIULIO,CAMBER,http://dati.camera.it/ocd/persona.rdf/p29100
SALVATORE,CARDINALE,http://dati.camera.it/ocd/persona.rdf/p29140
LUCIANO EMILIO,CAVERI,http://dati.camera.it/ocd/persona.rdf/p29160
TANCREDI,CIMMINO,http://dati.camera.it/ocd/persona.rdf/p29290
ANTONIO,BARGONE,http://dati.camera.it/ocd/persona.rdf/p28790
ANTONIO,BASSOLINO,http://dati.camera.it/ocd/persona.rdf/p28820
ANNA MARIA,BERNASCONI,http://dati.camera.it/ocd/persona.rdf/p28860
WILLER,BORDON,http://dati.camera.it/ocd/persona.rdf/p28990
MASSIMO,D'ALEMA,http://dati.camera.it/ocd/persona.rdf/p29400
